DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,MLP,0.968,1.0,0.966,2.0,0.96,4.0,0.96,4.0,0.95,6.0,0.96,4.0,area_volume_ratio,2,REC
x80data,MLP,0.9179999999999999,2.0,0.916,4.0,0.9179999999999999,2.0,0.9179999999999999,2.0,0.882,6.0,0.8879999999999999,5.0,area_volume_ratio,2,REC
x7data,MLP,0.942,6.0,0.98,1.0,0.974,3.5,0.976,2.0,0.954,5.0,0.974,3.5,area_volume_ratio,2,REC
x79data,MLP,0.938,1.0,0.934,3.0,0.9359999999999999,2.0,0.932,4.0,0.9200000000000002,6.0,0.93,5.0,area_volume_ratio,2,REC
x78data,MLP,0.8640000000000001,6.0,0.956,1.0,0.9479999999999998,2.0,0.938,4.0,0.9440000000000002,3.0,0.924,5.0,area_volume_ratio,2,REC
x76data,MLP,0.92,5.0,0.9259999999999999,1.0,0.924,2.5,0.924,2.5,0.922,4.0,0.914,6.0,area_volume_ratio,2,REC
x75data,MLP,0.892,6.0,0.996,1.0,0.992,2.5,0.992,2.5,0.9740000000000001,4.0,0.972,5.0,area_volume_ratio,2,REC
x74data,MLP,0.89,6.0,0.996,1.0,0.9640000000000001,5.0,0.976,3.0,0.966,4.0,0.98,2.0,area_volume_ratio,2,REC
x73data,MLP,0.89,1.0,0.882,2.5,0.8779999999999999,4.0,0.8759999999999999,5.0,0.86,6.0,0.882,2.5,area_volume_ratio,2,REC
x72data,MLP,0.8699999999999999,6.0,0.938,1.0,0.9359999999999999,2.5,0.93,4.0,0.9260000000000002,5.0,0.9360000000000002,2.5,area_volume_ratio,2,REC
x71data,MLP,0.7619999999999999,6.0,0.91,3.0,0.9200000000000002,2.0,0.906,4.0,0.8700000000000001,5.0,0.9259999999999999,1.0,area_volume_ratio,2,REC
x70data,MLP,0.75,1.0,0.7120000000000001,4.5,0.7120000000000001,4.5,0.72,3.0,0.726,2.0,0.7040000000000001,6.0,area_volume_ratio,2,REC
x69data,MLP,0.748,1.0,0.7440000000000001,3.5,0.74,5.5,0.7440000000000001,3.5,0.74,5.5,0.746,2.0,area_volume_ratio,2,REC
x68data,MLP,0.8379999999999999,6.0,0.944,3.0,0.946,1.5,0.946,1.5,0.938,4.0,0.934,5.0,area_volume_ratio,2,REC
x66data,MLP,0.768,1.0,0.748,3.0,0.7540000000000001,2.0,0.742,6.0,0.7459999999999999,4.0,0.7440000000000001,5.0,area_volume_ratio,2,REC
x65data,MLP,0.67,3.5,0.67,3.5,0.67,3.5,0.67,3.5,0.67,3.5,0.67,3.5,area_volume_ratio,2,REC
x64data,MLP,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,area_volume_ratio,2,REC
x63data,MLP,0.688,4.0,0.6920000000000001,2.5,0.6799999999999999,5.0,0.6920000000000001,2.5,0.6759999999999999,6.0,0.706,1.0,area_volume_ratio,2,REC
x60data,MLP,0.644,3.5,0.644,3.5,0.644,3.5,0.644,3.5,0.644,3.5,0.644,3.5,area_volume_ratio,2,REC
x50data,MLP,0.978,1.0,0.95,4.0,0.9640000000000001,2.0,0.962,3.0,0.94,5.0,0.922,6.0,area_volume_ratio,2,REC
x4data,MLP,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0.998,6.0,area_volume_ratio,2,REC
x48data,MLP,0.974,1.0,0.968,2.0,0.966,3.0,0.9640000000000001,4.0,0.9280000000000002,6.0,0.954,5.0,area_volume_ratio,2,REC
x45data,MLP,0.976,1.0,0.9620000000000001,2.0,0.948,3.0,0.9,5.0,0.8859999999999999,6.0,0.922,4.0,area_volume_ratio,2,REC
x39data,MLP,0.9540000000000001,6.0,0.98,1.5,0.974,3.5,0.98,1.5,0.972,5.0,0.9740000000000001,3.5,area_volume_ratio,2,REC
x38data,MLP,0.976,1.0,0.974,2.0,0.972,3.5,0.972,3.5,0.956,5.0,0.942,6.0,area_volume_ratio,2,REC
x35data,MLP,1.0,2.0,1.0,2.0,0.998,4.5,0.998,4.5,1.0,2.0,0.996,6.0,area_volume_ratio,2,REC
x32data,MLP,0.978,6.0,0.988,4.0,0.992,2.0,0.99,3.0,0.994,1.0,0.984,5.0,area_volume_ratio,2,REC
x31data,MLP,0.916,1.0,0.8759999999999999,3.0,0.906,2.0,0.8740000000000001,4.0,0.8719999999999999,5.0,0.8700000000000001,6.0,area_volume_ratio,2,REC
x30data,MLP,0.958,1.0,0.934,3.5,0.94,2.0,0.9179999999999999,5.0,0.902,6.0,0.934,3.5,area_volume_ratio,2,REC
x20data,MLP,0.96,1.0,0.892,5.0,0.9260000000000002,2.0,0.908,3.0,0.8859999999999999,6.0,0.904,4.0,area_volume_ratio,2,REC
x1data,MLP,0.922,1.0,0.906,4.0,0.916,2.5,0.916,2.5,0.8859999999999999,6.0,0.89,5.0,area_volume_ratio,2,REC
