DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,GNB,0.9399999999999998,4.5,0.9399999999999998,4.5,0.942,2.0,0.942,2.0,0.942,2.0,0.9280000000000002,6.0,edge_ratio,1,PRE
x80data,GNB,0.934,3.5,0.938,1.5,0.938,1.5,0.93,6.0,0.932,5.0,0.934,3.5,edge_ratio,1,PRE
x7data,GNB,0.898,2.5,0.902,1.0,0.898,2.5,0.89,5.5,0.89,5.5,0.8939999999999999,4.0,edge_ratio,1,PRE
x79data,GNB,0.902,3.0,0.9,5.0,0.902,3.0,0.902,3.0,0.914,1.0,0.898,6.0,edge_ratio,1,PRE
x78data,GNB,0.95,2.5,0.95,2.5,0.934,5.5,0.934,5.5,0.942,4.0,0.956,1.0,edge_ratio,1,PRE
x76data,GNB,0.9479999999999998,3.0,0.948,3.0,0.952,1.0,0.942,5.0,0.938,6.0,0.948,3.0,edge_ratio,1,PRE
x75data,GNB,0.988,1.0,0.972,3.0,0.966,5.0,0.97,4.0,0.954,6.0,0.978,2.0,edge_ratio,1,PRE
x74data,GNB,0.988,1.0,0.97,4.0,0.968,5.0,0.976,3.0,0.954,6.0,0.984,2.0,edge_ratio,1,PRE
x73data,GNB,0.884,5.0,0.8880000000000001,2.0,0.8859999999999999,3.5,0.8859999999999999,3.5,0.882,6.0,0.89,1.0,edge_ratio,1,PRE
x72data,GNB,0.8720000000000001,2.5,0.8700000000000001,4.5,0.8720000000000001,2.5,0.8740000000000001,1.0,0.868,6.0,0.8699999999999999,4.5,edge_ratio,1,PRE
x71data,GNB,0.92,1.0,0.908,5.0,0.902,6.0,0.912,3.5,0.9179999999999999,2.0,0.912,3.5,edge_ratio,1,PRE
x70data,GNB,0.76,4.0,0.768,3.0,0.7460000000000001,5.0,0.7779999999999998,1.0,0.77,2.0,0.736,6.0,edge_ratio,1,PRE
x69data,GNB,0.774,4.0,0.78,3.0,0.7659999999999999,5.0,0.7879999999999999,1.5,0.7879999999999999,1.5,0.7440000000000001,6.0,edge_ratio,1,PRE
x68data,GNB,0.8440000000000001,1.0,0.8400000000000001,2.0,0.8079999999999998,3.0,0.6799999999999999,5.0,0.706,4.0,0.628,6.0,edge_ratio,1,PRE
x66data,GNB,0.7639999999999999,1.0,0.732,4.5,0.7280000000000001,6.0,0.7340000000000001,3.0,0.762,2.0,0.732,4.5,edge_ratio,1,PRE
x65data,GNB,0.762,3.5,0.768,2.0,0.762,3.5,0.7559999999999999,5.0,0.748,6.0,0.8139999999999998,1.0,edge_ratio,1,PRE
x64data,GNB,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,1.0,3.5,edge_ratio,1,PRE
x63data,GNB,0.6260000000000001,6.0,0.648,5.0,0.6559999999999999,2.0,0.66,1.0,0.6540000000000001,3.0,0.6500000000000001,4.0,edge_ratio,1,PRE
x60data,GNB,0.748,5.0,0.7559999999999999,3.0,0.748,5.0,0.7659999999999999,2.0,0.774,1.0,0.748,5.0,edge_ratio,1,PRE
x50data,GNB,0.976,5.5,0.978,2.5,0.978,2.5,0.978,2.5,0.978,2.5,0.976,5.5,edge_ratio,1,PRE
x4data,GNB,0.9359999999999999,1.0,0.91,2.0,0.8759999999999999,4.0,0.8560000000000001,5.0,0.8539999999999999,6.0,0.8940000000000001,3.0,edge_ratio,1,PRE
x48data,GNB,0.978,2.0,0.978,2.0,0.976,4.0,0.9740000000000001,5.0,0.978,2.0,0.972,6.0,edge_ratio,1,PRE
x45data,GNB,0.976,3.5,0.976,3.5,0.978,1.5,0.952,6.0,0.958,5.0,0.978,1.5,edge_ratio,1,PRE
x39data,GNB,0.952,3.5,0.954,1.5,0.95,5.0,0.952,3.5,0.954,1.5,0.9359999999999999,6.0,edge_ratio,1,PRE
x38data,GNB,0.968,2.0,0.97,1.0,0.962,4.0,0.948,5.0,0.944,6.0,0.9640000000000001,3.0,edge_ratio,1,PRE
x35data,GNB,0.998,3.0,1.0,1.0,0.998,3.0,0.998,3.0,0.992,5.0,0.99,6.0,edge_ratio,1,PRE
x32data,GNB,0.94,2.5,0.944,1.0,0.9399999999999998,2.5,0.922,4.0,0.8880000000000001,6.0,0.8960000000000001,5.0,edge_ratio,1,PRE
x31data,GNB,0.8780000000000001,6.0,0.8800000000000001,5.0,0.8880000000000001,4.0,0.8940000000000001,3.0,0.8960000000000001,2.0,0.906,1.0,edge_ratio,1,PRE
x30data,GNB,0.922,3.0,0.912,5.0,0.914,4.0,0.908,6.0,0.924,2.0,0.9279999999999999,1.0,edge_ratio,1,PRE
x20data,GNB,0.94,3.5,0.94,3.5,0.94,3.5,0.94,3.5,0.94,3.5,0.94,3.5,edge_ratio,1,PRE
x1data,GNB,0.9399999999999998,2.0,0.9399999999999998,2.0,0.9399999999999998,2.0,0.9359999999999999,4.0,0.932,5.5,0.932,5.5,edge_ratio,1,PRE
x18data,GNB,0.946,1.0,0.9399999999999998,3.5,0.938,5.5,0.938,5.5,0.942,2.0,0.9399999999999998,3.5,edge_ratio,1,PRE
appendicitis,GNB,0.8099999999999999,1.0,0.7959999999999999,4.0,0.8039999999999999,3.0,0.8079999999999999,2.0,0.7859999999999999,5.0,0.784,6.0,edge_ratio,1,PRE
autoUniv-au1-1000,GNB,0.6719999999999999,6.0,0.716,1.0,0.7140000000000001,2.0,0.7120000000000001,3.0,0.7060000000000001,4.0,0.696,5.0,edge_ratio,1,PRE
climate-simulation-craches,GNB,0.924,2.0,0.924,2.0,0.922,4.5,0.924,2.0,0.9200000000000002,6.0,0.922,4.5,edge_ratio,1,PRE
colon32,GNB,0.916,3.5,0.916,3.5,0.916,3.5,0.916,3.5,0.916,3.5,0.916,3.5,edge_ratio,1,PRE
fertility-diagnosis,GNB,0.7699999999999999,6.0,0.8440000000000001,3.0,0.8560000000000001,1.5,0.8360000000000001,5.0,0.8420000000000001,4.0,0.8560000000000001,1.5,edge_ratio,1,PRE
habermans-survival,GNB,0.7020000000000001,6.0,0.736,5.0,0.7379999999999999,2.5,0.7380000000000001,2.5,0.7380000000000001,2.5,0.738,2.5,edge_ratio,1,PRE
indian-liver-patient,GNB,0.7540000000000001,4.5,0.7559999999999999,2.5,0.7540000000000001,4.5,0.7580000000000001,1.0,0.7559999999999999,2.5,0.74,6.0,edge_ratio,1,PRE
ionosphere,GNB,0.836,3.0,0.8340000000000001,4.0,0.828,5.0,0.8380000000000001,2.0,0.8460000000000001,1.0,0.826,6.0,edge_ratio,1,PRE
lsvt-voice-rehabilitation,GNB,0.752,1.5,0.752,1.5,0.7240000000000001,5.0,0.726,4.0,0.75,3.0,0.5720000000000001,6.0,edge_ratio,1,PRE
ozone-eighthr,GNB,0.932,1.5,0.93,4.0,0.9259999999999999,6.0,0.93,4.0,0.932,1.5,0.93,4.0,edge_ratio,1,PRE
ozone-onehr,GNB,0.962,4.5,0.962,4.5,0.962,4.5,0.962,4.5,0.968,1.0,0.9640000000000001,2.0,edge_ratio,1,PRE
parkinsons,GNB,0.812,2.0,0.8100000000000002,3.5,0.7979999999999998,5.0,0.8099999999999999,3.5,0.8220000000000001,1.0,0.782,6.0,edge_ratio,1,PRE
phoneme,GNB,0.7959999999999999,2.0,0.79,3.5,0.7860000000000001,6.0,0.79,3.5,0.7879999999999999,5.0,0.8,1.0,edge_ratio,1,PRE
pima-indians-diabetes,GNB,0.608,6.0,0.6459999999999999,3.0,0.6439999999999999,4.0,0.642,5.0,0.6559999999999999,1.5,0.6559999999999999,1.5,edge_ratio,1,PRE
planning-relax,GNB,0.5119999999999999,4.0,0.4920000000000001,6.0,0.534,1.0,0.508,5.0,0.514,3.0,0.5319999999999999,2.0,edge_ratio,1,PRE
qsar-biodegradation,GNB,0.8059999999999998,1.0,0.7979999999999999,4.5,0.8,2.0,0.7979999999999999,4.5,0.7979999999999999,4.5,0.7979999999999999,4.5,edge_ratio,1,PRE
saheart,GNB,0.708,1.5,0.6920000000000001,4.5,0.708,1.5,0.7020000000000001,3.0,0.69,6.0,0.6920000000000001,4.5,edge_ratio,1,PRE
seismic-bumps,GNB,0.9259999999999999,1.5,0.9259999999999999,1.5,0.92,4.5,0.924,3.0,0.92,4.5,0.8880000000000001,6.0,edge_ratio,1,PRE
spambase,GNB,0.836,1.0,0.8340000000000001,2.5,0.8340000000000001,2.5,0.8320000000000001,4.0,0.7959999999999999,6.0,0.8020000000000002,5.0,edge_ratio,1,PRE
spectf-heart,GNB,0.836,2.5,0.8400000000000001,1.0,0.8340000000000001,4.5,0.82,6.0,0.8340000000000001,4.5,0.836,2.5,edge_ratio,1,PRE
statlog-german-credit,GNB,0.6279999999999999,5.0,0.632,3.0,0.634,1.5,0.63,4.0,0.624,6.0,0.634,1.5,edge_ratio,1,PRE
statlog-german-credit-numeric,GNB,0.722,1.0,0.7060000000000001,5.0,0.72,2.0,0.71,4.0,0.7120000000000001,3.0,0.6799999999999999,6.0,edge_ratio,1,PRE
