DATASET,ALGORITHM,ORIGINAL,RANK_ORIGINAL,SMOTE,RANK_SMOTE,SMOTE_SVM,RANK_SMOTE_SVM,BORDERLINE1,RANK_BORDERLINE1,BORDERLINE2,RANK_BORDERLINE2,DELAUNAY,RANK_DELAUNAY,DELAUNAY_TYPE,ALPHA,unit
x81data,SGD,0.94,4.5,0.946,1.0,0.942,2.0,0.94,4.5,0.9399999999999998,4.5,0.94,4.5,radius_ratio,7,PRE
x80data,SGD,0.8440000000000001,6.0,0.908,4.0,0.9059999999999999,5.0,0.938,2.0,0.9399999999999998,1.0,0.9179999999999999,3.0,radius_ratio,7,PRE
x7data,SGD,0.942,5.0,0.966,1.0,0.938,6.0,0.95,3.0,0.958,2.0,0.946,4.0,radius_ratio,7,PRE
x79data,SGD,0.93,5.0,0.9359999999999999,2.0,0.938,1.0,0.9280000000000002,6.0,0.934,3.0,0.932,4.0,radius_ratio,7,PRE
x78data,SGD,0.748,2.0,0.8200000000000001,1.0,0.726,3.0,0.53,6.0,0.7120000000000001,4.0,0.6380000000000001,5.0,radius_ratio,7,PRE
x76data,SGD,0.9179999999999999,2.0,0.912,4.0,0.9200000000000002,1.0,0.91,6.0,0.912,4.0,0.912,4.0,radius_ratio,7,PRE
x75data,SGD,0.912,5.0,0.9640000000000001,2.0,0.968,1.0,0.938,4.0,0.952,3.0,0.91,6.0,radius_ratio,7,PRE
x74data,SGD,0.968,2.0,0.958,3.5,0.958,3.5,0.9359999999999999,6.0,0.946,5.0,0.984,1.0,radius_ratio,7,PRE
x73data,SGD,0.868,6.0,0.898,2.5,0.8859999999999999,4.5,0.906,1.0,0.8859999999999999,4.5,0.898,2.5,radius_ratio,7,PRE
x72data,SGD,0.8059999999999999,6.0,0.8620000000000001,2.0,0.8320000000000001,4.0,0.8400000000000001,3.0,0.8779999999999999,1.0,0.8299999999999998,5.0,radius_ratio,7,PRE
x71data,SGD,0.892,1.0,0.754,4.0,0.31399999999999995,6.0,0.8480000000000001,3.0,0.6539999999999999,5.0,0.89,2.0,radius_ratio,7,PRE
x70data,SGD,0.39,6.0,0.5760000000000001,3.0,0.7240000000000001,1.0,0.5680000000000001,4.0,0.534,5.0,0.6980000000000001,2.0,radius_ratio,7,PRE
x69data,SGD,0.5720000000000001,4.0,0.7,1.0,0.65,3.0,0.4940000000000001,6.0,0.508,5.0,0.652,2.0,radius_ratio,7,PRE
